Link,GName,Structure,Description
https://go.drugbank.com/drugs/DB13783,Acemetacin,https://go.drugbank.com/structures/DB13783/image.svg,A NSAID indicated in the treatment of pain and inflammation.
https://go.drugbank.com/drugs/DB01418,Acenocoumarol,https://go.drugbank.com/structures/DB01418/image.svg,"An anticoagulant drug used in the prevention of thromboembolic diseases in infarction and transient ischemic attacks, as well as management of deep vein thrombosis and myocardial infarction."
https://go.drugbank.com/drugs/DB00316,Acetaminophen,https://go.drugbank.com/structures/DB00316/image.svg,"An analgesic drug used alone or in combination with opioids for pain management, and as an antipyretic agent."
https://go.drugbank.com/drugs/DB13268,Acetarsol,https://go.drugbank.com/structures/DB13268/image.svg,An anti infective used to treat a wide variety of infections in the body.
https://go.drugbank.com/drugs/DB00819,Acetazolamide,https://go.drugbank.com/structures/DB00819/image.svg,"A carbonic anhydrase inhibitor used to treat edema from heart failure or medications, certain types of epilepsy, and glaucoma."
https://go.drugbank.com/drugs/DB03166,Acetic acid,https://go.drugbank.com/structures/DB03166/image.svg,An antimicrobial agent used to treat susceptible infections of the external auditory canal.
https://go.drugbank.com/drugs/DB00414,Acetohexamide,https://go.drugbank.com/structures/DB00414/image.svg,Used in the management of diabetes mellitus type 2 (adult-onset).
https://go.drugbank.com/drugs/DB00551,Acetohydroxamic acid,https://go.drugbank.com/structures/DB00551/image.svg,A synthetic urea derivative used to treat urea splitting bacterial infections of the urinary tract.
https://go.drugbank.com/drugs/DB01063,Acetophenazine,https://go.drugbank.com/structures/DB01063/image.svg,For the treatment of disorganized and psychotic thinking. Also used to help treat false perceptions (e.g. hallucinations or delusions.)
https://go.drugbank.com/drugs/DB14033,Acetyl sulfisoxazole,https://go.drugbank.com/structures/DB14033/image.svg,"Acute, recurrent or chronic urinary tract infections (primarily pyelonephritis, pyelitis and cystitis) due to susceptible organisms (usually Escherichia coli, Klebsiella-Enterobacter, staphylococcus, Proteus mirabilis and, less frequently, Proteus vulgaris) in the..."
https://go.drugbank.com/drugs/DB08842,Acetylcarnitine,https://go.drugbank.com/structures/DB08842/image.svg,"An acetylated form of the amino acid derivative L-carnitine that assists in mitochondrial fatty acid metabolism. It is under investigation as a treatment for numerous conditions, including neuropathy, depression, and dementia."
https://go.drugbank.com/drugs/DB03128,Acetylcholine,https://go.drugbank.com/structures/DB03128/image.svg,"A parasympathomimetic neurotransmitter used to induce miosis of the iris in seconds after delivery of the lens in cataract surgery, in penetrating keratoplasty, iridectomy and other anterior segment surgery where rapid miosis may be required."
https://go.drugbank.com/drugs/DB06151,Acetylcysteine,https://go.drugbank.com/structures/DB06151/image.svg,A medication that can be used as a mucolytic in patients with certain lung conditions and as an antidote for acetaminophen overdose.
https://go.drugbank.com/drugs/DB00511,Acetyldigitoxin,https://go.drugbank.com/structures/DB00511/image.svg,Used for fast digitalization in congestive heart failure.
https://go.drugbank.com/drugs/DB15906,Acetylene,https://go.drugbank.com/structures/DB15906/image.svg,A component of a medical gas indicated for lung function testing.
https://go.drugbank.com/drugs/DB00945,Acetylsalicylic acid,https://go.drugbank.com/structures/DB00945/image.svg,"A salicylate used to treat pain, fever, inflammation, migraines, and reducing the risk of major adverse cardiovascular events."
https://go.drugbank.com/drugs/DB09055,Acipimox,https://go.drugbank.com/structures/DB09055/image.svg,A niacin derivative used in Fredrickson type IIb and type IV hyperlipoproteinemia.
https://go.drugbank.com/drugs/DB00459,Acitretin,https://go.drugbank.com/structures/DB00459/image.svg,An oral retinoid used in the treatment of severe psoriasis.
https://go.drugbank.com/drugs/DB08897,Aclidinium,https://go.drugbank.com/structures/DB08897/image.svg,An inhaled long-acting anticholinergic used as a maintenance bronchodilator in patients with chronic obstructive pulmonary disease (COPD).
https://go.drugbank.com/drugs/DB09488,Acrivastine,https://go.drugbank.com/structures/DB09488/image.svg,"An antihistamine agent used for the symptomatic relief of seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
https://go.drugbank.com/drugs/DB09278,Activated charcoal,https://go.drugbank.com/structures/DB09278/image.svg,A gastric decontamination agent used in emergency clinical settings as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons.
https://go.drugbank.com/drugs/DB00787,Acyclovir,https://go.drugbank.com/structures/DB00787/image.svg,"A guanosine analog used to treat herpes simplex, varicella zoster, herpes zoster."
https://go.drugbank.com/drugs/DB15568,Adagrasib,https://go.drugbank.com/structures/DB15568/image.svg,A KRAS inhibitor indicated for the treatment of locally advanced or metastatic KRAS G12C-mutated non-small cell lung cancer in patients who have received at least one prior systemic therapy.
https://go.drugbank.com/drugs/DB00210,Adapalene,https://go.drugbank.com/structures/DB00210/image.svg,"A third-generation topical retinoid with anti-comedogenic, comedolytic, and anti-inflammatory properties used to treat acne vulgaris in adolescents and adults."
https://go.drugbank.com/drugs/DB00718,Adefovir dipivoxil,https://go.drugbank.com/structures/DB00718/image.svg,A nucleotide analog used to treat chronic hepatitis B.
https://go.drugbank.com/drugs/DB00118,Ademetionine,https://go.drugbank.com/structures/DB00118/image.svg,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as..."
https://go.drugbank.com/drugs/DB00173,Adenine,https://go.drugbank.com/structures/DB00173/image.svg,A purine base which forms a component of DNA among other functions and is present in many multivitamins.
https://go.drugbank.com/drugs/DB00640,Adenosine,https://go.drugbank.com/structures/DB00640/image.svg,A medication used in myocardial perfusion scintigraphy and to treat supraventricular tachycardia.
https://go.drugbank.com/drugs/DB00131,Adenosine phosphate,https://go.drugbank.com/structures/DB00131/image.svg,"For nutritional supplementation, also for treating dietary shortage or imbalance"
https://go.drugbank.com/drugs/DB15795,Adiphenine,https://go.drugbank.com/structures/DB15795/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB04931,Afamelanotide,https://go.drugbank.com/structures/DB04931/image.svg,An injectable subcutaneous implant used to mitigate phototoxicity secondary to erythropoietic protoporphyria (EPP).
https://go.drugbank.com/drugs/DB08916,Afatinib,https://go.drugbank.com/structures/DB08916/image.svg,An antineoplastic agent used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with non-resistant EGFR mutations or resistance to platinum-based chemotherapy.
https://go.drugbank.com/drugs/DB06594,Agomelatine,https://go.drugbank.com/structures/DB06594/image.svg,Agomelatine is indicated to treat major depressive episodes in adults.
https://go.drugbank.com/drugs/DB01426,Ajmaline,https://go.drugbank.com/structures/DB01426/image.svg,An antiarrhythmic used to manage a variety of forms of tachycardias.
https://go.drugbank.com/drugs/DB09335,Alatrofloxacin,https://go.drugbank.com/structures/DB09335/image.svg,A fluoroquinolone antibiotic used to treat a variety of bacterial infections.
https://go.drugbank.com/drugs/DB00518,Albendazole,https://go.drugbank.com/structures/DB00518/image.svg,A benzimidazole anthelmintic used to treat parenchymal neurocysticercosis and other helminth infections.
https://go.drugbank.com/drugs/DB06766,Alcaftadine,https://go.drugbank.com/structures/DB06766/image.svg,A H1 histamine receptor antagonist for ophthalmic use to prevent itching associated with allergic conjunctivitis.
https://go.drugbank.com/drugs/DB13167,Alclofenac,https://go.drugbank.com/structures/DB13167/image.svg,"Alclofenac is indicated in rheumatology, in particular for the treatment of rheumatoid arthritis, ankylosing spondylitis and, as an analgesic, in painful arthritic pathologies."
https://go.drugbank.com/drugs/DB00240,Alclometasone,https://go.drugbank.com/structures/DB00240/image.svg,A topical corticosteroid used to relieve the symptoms of corticosteroid-responsive dermatoses.
https://go.drugbank.com/drugs/DB11205,Alcloxa,https://go.drugbank.com/structures/DB11205/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB11363,Alectinib,https://go.drugbank.com/structures/DB11363/image.svg,A kinase inhibitor used to treat anaplastic lymphoma kinase positive metastatic non small cell lung cancer.
https://go.drugbank.com/drugs/DB00630,Alendronic acid,https://go.drugbank.com/structures/DB00630/image.svg,A bisphosphonate drug that prevents osteoclastic bone resorption which is used for the prevention and treatment of osteoporosis.
https://go.drugbank.com/drugs/DB01436,Alfacalcidol,https://go.drugbank.com/structures/DB01436/image.svg,"A vitamin D analogue used for the management of hypocalcemia, secondary hyperparathyroidism, and osteodystrophy in patients with chronic renal failure, as well as some types of rickets and osteomalacia."
https://go.drugbank.com/drugs/DB00802,Alfentanil,https://go.drugbank.com/structures/DB00802/image.svg,"An opioid agonist used to induce and maintain anesthesia, as well as an analgesic."
https://go.drugbank.com/drugs/DB00346,Alfuzosin,https://go.drugbank.com/structures/DB00346/image.svg,An alpha-1 adrenergic antagonist used in the symptomatic management of benign prostatic hypertrophy (BPH).
https://go.drugbank.com/drugs/DB13518,Alginic acid,https://go.drugbank.com/structures/DB13518/image.svg,"Indicated for the management of gastric reflux, reflux oesophagitis, hiatus hernia, heartburn (including heartburn of pregnancy) and similar gastric distress ."
https://go.drugbank.com/drugs/DB01246,Alimemazine,https://go.drugbank.com/structures/DB01246/image.svg,"An antihistamine agent used to prevent and relieve allergic conditions which cause pruritus and other allergic skin conditions, including urticaria."
https://go.drugbank.com/drugs/DB09026,Aliskiren,https://go.drugbank.com/structures/DB09026/image.svg,A direct renin inhibitor used to manage hypertension.
https://go.drugbank.com/drugs/DB00523,Alitretinoin,https://go.drugbank.com/structures/DB00523/image.svg,A vitamin A derivative used to treat Kaposi's sarcoma and used off label to treat chronic hand eczema and psoriasis.
https://go.drugbank.com/drugs/DB11100,Allantoin,https://go.drugbank.com/structures/DB11100/image.svg,"An ingredient used in skin care products to relieve irritation and protect minor cuts, scrapes, and burns."
https://go.drugbank.com/drugs/DB15477,Alloin,https://go.drugbank.com/structures/DB15477/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB00437,Allopurinol,https://go.drugbank.com/structures/DB00437/image.svg,"A xanthine oxidase inhibitor used to reduce urinary and serum uric acid concentrations in patients with gout, recurrent calcium oxalate calculi, and various malignancies."
https://go.drugbank.com/drugs/DB13595,Almasilate,https://go.drugbank.com/structures/DB13595/image.svg,Almasilate is indicated for use as an antacid for the neutralization of excess stomach acid . It is subsequently also used for the symptomatic treatment of diseases where it is...
https://go.drugbank.com/drugs/DB01430,Almitrine,https://go.drugbank.com/structures/DB01430/image.svg,For the treatment of chronic obstructive pulmonary disease.
https://go.drugbank.com/drugs/DB00918,Almotriptan,https://go.drugbank.com/structures/DB00918/image.svg,A 5-HT1B/1D receptor agonist used to treat migraines.
https://go.drugbank.com/drugs/DB06203,Alogliptin,https://go.drugbank.com/structures/DB06203/image.svg,A dipeptidyl peptidase-4 (DPP-4) inhibitor used to treat hyperglycemia in patients with type 2 diabetes mellitus.
https://go.drugbank.com/drugs/DB00969,Alosetron,https://go.drugbank.com/structures/DB00969/image.svg,A 5-HT3 antagonist used to treat diarrhea-predominant IBS.
https://go.drugbank.com/drugs/DB12015,Alpelisib,https://go.drugbank.com/structures/DB12015/image.svg,"Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer. This cancer must be hormone receptor (HR)-positive, human epidermal growth factor..."
https://go.drugbank.com/drugs/DB14175,alpha-Amyl cinnamaldehyde,https://go.drugbank.com/structures/DB14175/image.svg,alpha-Amyl cinnamaldehyde is used in allergenic testing.
https://go.drugbank.com/drugs/DB14109,alpha-Arbutin,https://go.drugbank.com/structures/DB14109/image.svg,Not Annotated
https://go.drugbank.com/drugs/DB00132,alpha-Linolenic acid,https://go.drugbank.com/structures/DB00132/image.svg,A polyunsaturated omega-3 fatty acid found in many supplements.
https://go.drugbank.com/drugs/DB14003,alpha-Tocopherol acetate,https://go.drugbank.com/structures/DB14003/image.svg,A form of vitamin E used to treat and prevent vitamin deficiencies.
https://go.drugbank.com/drugs/DB14001,alpha-Tocopherol succinate,https://go.drugbank.com/structures/DB14001/image.svg,A form of vitamin E used to treat and prevent vitamin deficiencies.
https://go.drugbank.com/drugs/DB00404,Alprazolam,https://go.drugbank.com/structures/DB00404/image.svg,A triazolobenzodiazepine with intermediate onset commonly used to treat panic disorders and generalized anxiety in addition to anxiety associated with depression.
https://go.drugbank.com/drugs/DB00770,Alprostadil,https://go.drugbank.com/structures/DB00770/image.svg,A prostaglandin E1 agonist used for the treatment of erectile dysfunction and as an adjunct for its diagnosis.
https://go.drugbank.com/drugs/DB00488,Altretamine,https://go.drugbank.com/structures/DB00488/image.svg,An antineoplastic agent used in palliative treatment of persistent or recurrent ovarian cancer.
https://go.drugbank.com/drugs/DB01370,Aluminium,https://go.drugbank.com/structures/DB01370/image.svg,"A metallic element that has the atomic number 13, atomic symbol Al, and atomic weight 26.98."
https://go.drugbank.com/drugs/DB14517,Aluminium phosphate,https://go.drugbank.com/structures/DB14517/image.svg,Not Available
https://go.drugbank.com/drugs/DB14518,Aluminum acetate,https://go.drugbank.com/structures/DB14518/image.svg,A medication used for temporary relief of skin irritation.
https://go.drugbank.com/drugs/DB11081,Aluminum chloride,https://go.drugbank.com/structures/DB11081/image.svg,"Indicated for the control of minor hemorrhage during dental restorative procedures.
Indicated to reduce underarm perspiration."
https://go.drugbank.com/drugs/DB11573,Aluminum chlorohydrate,https://go.drugbank.com/structures/DB11573/image.svg,A compound used as an antiperspirant.
https://go.drugbank.com/drugs/DB11208,Aluminum chlorohydrex propylene glycol,https://go.drugbank.com/structures/DB11208/image.svg,Aluminum chlorohydrex propylene glycol is a complex consisting of Aluminum Chorohydrate and propylene glycol (PG). It is an antiperspirant active ingredient found in antiperspirant drug products for over-the-counter human use.
https://go.drugbank.com/drugs/DB06723,Aluminum hydroxide,https://go.drugbank.com/structures/DB06723/image.svg,"An antacid used for the symptomatic relief of heartburn, acid indigestion, and sour stomach."
https://go.drugbank.com/drugs/DB11342,Aluminum oxide,https://go.drugbank.com/structures/DB11342/image.svg,"Aluminum oxide has a chemical formula Al2O3. It is amphoteric in nature, and is used in various chemical, industrial and commercial applications. It is considered an indirect additive used in..."
https://go.drugbank.com/drugs/DB11108,Aluminum sesquichlorohydrate,https://go.drugbank.com/structures/DB11108/image.svg,An antiperspirant used to reduce sweating.
https://go.drugbank.com/drugs/DB15679,Aluminum subacetate,https://go.drugbank.com/structures/DB15679/image.svg,A medication used to prevent infection and treat irritation around the rectum.
https://go.drugbank.com/drugs/DB11239,Aluminum sulfate,https://go.drugbank.com/structures/DB11239/image.svg,A medication used to prevent infections and to treat minor bleeding.
https://go.drugbank.com/drugs/DB11200,Aluminum zirconium octachlorohydrex gly,https://go.drugbank.com/structures/DB11200/image.svg,An antiperspirant used to reduce sweating.
https://go.drugbank.com/drugs/DB11147,Aluminum zirconium pentachlorohydrate,https://go.drugbank.com/structures/DB11147/image.svg,Aluminum zirconium pentachlorohydrate is a common active ingredient in personal care products as an antiperspirant agent. Its main mechanism of action is through blocking the pores via formation of polymer...
https://go.drugbank.com/drugs/DB11277,Aluminum zirconium pentachlorohydrex gly,https://go.drugbank.com/structures/DB11277/image.svg,"Aluminum zirconium pentachlorohydrex gly, or Aluminum Zirconium Tetrachlorohydrex Glycine, is commonly used as an antiperspirant in many deodorant products. It is a coordination complex of Aluminum Zirconium pentachlorohydrate and glycine...."
https://go.drugbank.com/drugs/DB11149,Aluminum zirconium tetrachlorohydrex gly,https://go.drugbank.com/structures/DB11149/image.svg,An antiperspirant used to reduce sweating.
https://go.drugbank.com/drugs/DB11116,Aluminum zirconium trichlorohydrex gly,https://go.drugbank.com/structures/DB11116/image.svg,Aluminum zirconium trichlorohydrex gly is a common active ingredient in deodorant and antiperspirant products for the over-the-counter use. It is consisted of a mixture of monomeric and polymeric Zr4+ and...
https://go.drugbank.com/drugs/DB01616,Alverine,https://go.drugbank.com/structures/DB01616/image.svg,"A smooth muscle relaxant used to relieve abdominal pain associated with gastrointestinal conditions like heartburn, flatulence, and Irritable Bowel Syndrome."
https://go.drugbank.com/drugs/DB06274,Alvimopan,https://go.drugbank.com/structures/DB06274/image.svg,An opioid antagonist used to reduce healing time of the upper and lower gastrointestinal tract following surgical procedures that involve bowel resection with primary anastomosis.
https://go.drugbank.com/drugs/DB00915,Amantadine,https://go.drugbank.com/structures/DB00915/image.svg,"A medication used to treat dyskinesia in Parkinson's patients receiving levodopa, as well as extrapyramidal side effects of medications."
https://go.drugbank.com/drugs/DB01122,Ambenonium,https://go.drugbank.com/structures/DB01122/image.svg,A cholinesterase inhibitor that targets both muscarinic and nicotinic receptors indicated for the treatment of myasthenia gravis.
https://go.drugbank.com/drugs/DB06403,Ambrisentan,https://go.drugbank.com/structures/DB06403/image.svg,A selective type A endothelin receptor antagonist used to treat primary pulmonary arterial hypertension and pulmonary arterial hypertension based on diagnostic classifications.
https://go.drugbank.com/drugs/DB06742,Ambroxol,https://go.drugbank.com/structures/DB06742/image.svg,A medication indicated for airway secretion clearance therapy.
https://go.drugbank.com/drugs/DB00288,Amcinonide,https://go.drugbank.com/structures/DB00288/image.svg,A topical corticosteroid used in the treatment of inflammation and pruritus due to a variety of dermatoses.
https://go.drugbank.com/drugs/DB11640,Amifampridine,https://go.drugbank.com/structures/DB11640/image.svg,A voltage gated potassium channel blocker used to treat Lambert-Eaton myasthenic syndrome.
https://go.drugbank.com/drugs/DB01143,Amifostine,https://go.drugbank.com/structures/DB01143/image.svg,A cytoprotective adjuvant used for reduction in the cumulative renal toxicity in patients with ovarian cancer and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.
https://go.drugbank.com/drugs/DB00479,Amikacin,https://go.drugbank.com/structures/DB00479/image.svg,An aminoglycoside used to treat infections caused by more resistant strains of Gram negative bacteria and some Gram positive bacteria.
https://go.drugbank.com/drugs/DB00594,Amiloride,https://go.drugbank.com/structures/DB00594/image.svg,A pyrizine compound used to treat hypertension and congestive heart failure.
https://go.drugbank.com/drugs/DB11207,Amiloxate,https://go.drugbank.com/structures/DB11207/image.svg,Indicated as an active sunscreen agent.
https://go.drugbank.com/drugs/DB02362,Aminobenzoic acid,https://go.drugbank.com/structures/DB02362/image.svg,A drug used to reduce the progression of penile deviation in Peyronie's Disease in adults.
https://go.drugbank.com/drugs/DB00513,Aminocaproic acid,https://go.drugbank.com/structures/DB00513/image.svg,An antifibrinolytic agent used to induce clotting postoperatively.
https://go.drugbank.com/drugs/DB00357,Aminoglutethimide,https://go.drugbank.com/structures/DB00357/image.svg,An adrenocortical steroid synthesis inhibitor used in the treatment of Cushing's syndrome.
https://go.drugbank.com/drugs/DB00345,Aminohippuric acid,https://go.drugbank.com/structures/DB00345/image.svg,A hippuric acid derivative injection utilized in the measurement of effective renal plasma flow (ERPF) and functional capacity of the renal excretory system.
https://go.drugbank.com/drugs/DB00855,Aminolevulinic acid,https://go.drugbank.com/structures/DB00855/image.svg,"A porphyrin precursor used to treat actinic keratosis of the face, scalp, and upper extremities, as well as to visualize a glioma."
https://go.drugbank.com/drugs/DB01424,Aminophenazone,https://go.drugbank.com/structures/DB01424/image.svg,An analgesic drug used to treat acute migraine attacks in combination with ergotamine and caffeine.
https://go.drugbank.com/drugs/DB01223,Aminophylline,https://go.drugbank.com/structures/DB01223/image.svg,"A bronchodilator consisting of theophylline that is used for the treatment of bronchospasm due to asthma, emphysema and chronic bronchitis."
https://go.drugbank.com/drugs/DB00233,Aminosalicylic acid,https://go.drugbank.com/structures/DB00233/image.svg,An aminosalicylate drug used to induce remission in ulcerative colitis.
https://go.drugbank.com/drugs/DB01118,Amiodarone,https://go.drugbank.com/structures/DB01118/image.svg,A class III antiarrhythmic indicated for the treatment of recurrent hemodynamically unstable ventricular tachycardia and recurrent ventricular fibrillation.
https://go.drugbank.com/drugs/DB06288,Amisulpride,https://go.drugbank.com/structures/DB06288/image.svg,"A dopamine D2 receptor antagonist used in the treatment of acute and chronic schizophrenia, and in the prevention and treatment of postoperative nausea and vomiting in adults."
https://go.drugbank.com/drugs/DB00321,Amitriptyline,https://go.drugbank.com/structures/DB00321/image.svg,"A tricyclic antidepressant indicated in the treatment of depressive illness, either endogenous or psychotic, and to relieve depression associated anxiety."
https://go.drugbank.com/drugs/DB13114,Amitriptylinoxide,https://go.drugbank.com/structures/DB13114/image.svg,A tricyclic antidepressant indicated in the treatment of depressive disorders.
https://go.drugbank.com/drugs/DB01025,Amlexanox,https://go.drugbank.com/structures/DB01025/image.svg,Used as a paste in the mouth to treat aphthous ulcers (canker sores).
https://go.drugbank.com/drugs/DB00381,Amlodipine,https://go.drugbank.com/structures/DB00381/image.svg,A calcium channel blocker used to treat hypertension and angina.
https://go.drugbank.com/drugs/DB11118,Ammonia,https://go.drugbank.com/structures/DB11118/image.svg,"Indicated for use as a smelling salt to treat or prevent fainting.
(when radiolabelled) Indicated for diagnostic PET imaging of the myocardium under rest or pharmacologic stress conditions to evaluate..."
https://go.drugbank.com/drugs/DB09326,Ammonia N-13,https://go.drugbank.com/structures/DB09326/image.svg,A radioactive diagnostic agent used in PET (positron emission tomography) scans.
https://go.drugbank.com/drugs/DB15926,Ammonium carbonate,https://go.drugbank.com/structures/DB15926/image.svg,An expectorant indicated to treat a cough and phlegm.
https://go.drugbank.com/drugs/DB06767,Ammonium chloride,https://go.drugbank.com/structures/DB06767/image.svg,"Expectorant in cough syrups.
The ammonium ion (NH4+) in the body plays an important role in the maintenance of acid-base balance. The kidney uses ammonium (NH4+) in place of sodium..."
https://go.drugbank.com/drugs/DB06768,Ammonium lactate,https://go.drugbank.com/structures/DB06768/image.svg,"An inorganic compound used for the symptomatic treatment of dry, scaly skin (xerosis) and ichthyosis vulgaris and for temporary relief of itching associated with these conditions."
https://go.drugbank.com/drugs/DB01351,Amobarbital,https://go.drugbank.com/structures/DB01351/image.svg,"A barbiturate derivative used for the induction of sedation during procedures, short-term management of insomnia, and acute management of refractory tonic-clonic seizures."
https://go.drugbank.com/drugs/DB00613,Amodiaquine,https://go.drugbank.com/structures/DB00613/image.svg,An antimalarial drug.
https://go.drugbank.com/drugs/DB09056,Amorolfine,https://go.drugbank.com/structures/DB09056/image.svg,A morpholine derivative commonly applied as a lacquer for onychomycosis but is also used for superficial dermatomycosis.
https://go.drugbank.com/drugs/DB00543,Amoxapine,https://go.drugbank.com/structures/DB00543/image.svg,A tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.
https://go.drugbank.com/drugs/DB01060,Amoxicillin,https://go.drugbank.com/structures/DB01060/image.svg,"A penicillin derivative used for the treatment of infections caused by gram-positive bacteria, in particular streptococcal bacteria causing upper respiratory tract infections."
https://go.drugbank.com/drugs/DB00182,Amphetamine,https://go.drugbank.com/structures/DB00182/image.svg,A CNS stimulant and sympathomimetic agent indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD).
https://go.drugbank.com/drugs/DB00681,Amphotericin B,https://go.drugbank.com/structures/DB00681/image.svg,"An antifungal used to treat fungal infections in neutropenic patients, cryptococcal meningitis in HIV infection, fungal infections, and leishmaniasis."
https://go.drugbank.com/drugs/DB00415,Ampicillin,https://go.drugbank.com/structures/DB00415/image.svg,A penicillin derivative used for the treatment of a variety of infections caused by gram-positive and gram-negative bacteria as well as some anaerobes.
https://go.drugbank.com/drugs/DB00701,Amprenavir,https://go.drugbank.com/structures/DB00701/image.svg,A protease inhibitor used to treat HIV infection.
https://go.drugbank.com/drugs/DB01427,Amrinone,https://go.drugbank.com/structures/DB01427/image.svg,A positive inotropic agent and phosphodiesterase inhibitor used in the management of treatment of congestive heart failure.
https://go.drugbank.com/drugs/DB00276,Amsacrine,https://go.drugbank.com/structures/DB00276/image.svg,A cytotoxic agent used to induce remission in acute adult leukemia that is not adequately responsive to other agents.
https://go.drugbank.com/drugs/DB01612,Amyl Nitrite,https://go.drugbank.com/structures/DB01612/image.svg,A fast acting vasodilator used for rapid relief of angina pectoris.
